date,case
2020-03-18,158
2020-03-19,210
2020-03-20,215
2020-03-21,267
2020-03-22,307
2020-03-23,353
2020-03-24,424
2020-03-25,463
2020-03-26,515
2020-03-27,598
2020-03-28,627
2020-03-29,675
2020-03-30,698
2020-03-31,747
2020-04-01,808
2020-04-02,897
2020-04-03,971
2020-04-04,1028
2020-04-05,1124
2020-04-06,1232
2020-04-07,1369
2020-04-08,1470
2020-04-09,1706
2020-04-10,1753
2020-04-11,1948
2020-04-12,2044
2020-04-13,2186
2020-04-14,2335
2020-04-15,2474
2020-04-16,2670
2020-04-17,2815
2020-04-18,2924
2020-04-19,3032
2020-04-20,3097
2020-04-21,3260
2020-04-22,3383
2020-04-23,3517
2020-04-24,3599
2020-04-25,3684
2020-04-26,3798
2020-04-27,3869
2020-04-28,4002
2020-04-29,4092
2020-04-30,4175
2020-05-01,4317
2020-05-02,4397
2020-05-03,4463
2020-05-04,4539
2020-05-05,4687
2020-05-06,4770
2020-05-07,4855
2020-05-08,4955
2020-05-09,5056
2020-05-10,5190
2020-05-11,5276
2020-05-12,5375
2020-05-13,5554
2020-05-14,5688
2020-05-15,5774
2020-05-16,5881
2020-05-17,6010
2020-05-18,6059
2020-05-19,6155
2020-05-20,6236
2020-05-21,6301
2020-05-22,6400
2020-05-23,6515
2020-05-24,6634
2020-05-25,6709
2020-05-26,6798
2020-05-27,6895
2020-05-28,7001
2020-05-29,7128
2020-05-30,7229
2020-05-31,7348
2020-06-01,7485
2020-06-02,7541
2020-06-03,7623
2020-06-04,7690
2020-06-05,7766
2020-06-06,7870
2020-06-07,8033
2020-06-08,8121
2020-06-09,8355
2020-06-10,8503
2020-06-11,8650
2020-06-12,8740
2020-06-13,8861
2020-06-14,8978
2020-06-15,9120
2020-06-16,9222
2020-06-17,9349
2020-06-18,9516
2020-06-19,9655
2020-06-20,9829
2020-06-21,9971
2020-06-22,10098
2020-06-23,10250
2020-06-24,10404
2020-06-25,10600
2020-06-26,10796
2020-06-27,10994
2020-06-28,11114
2020-06-29,11237
2020-06-30,11424
2020-07-01,11637
2020-07-02,11823
2020-07-03,11961
2020-07-04,12183
2020-07-05,12435
2020-07-06,12667
2020-07-07,12857
2020-07-08,13211
2020-07-09,13488
2020-07-10,13739
2020-07-11,14113
2020-07-12,14517
2020-07-13,14797
2020-07-14,15064
2020-07-15,15324
2020-07-16,15636
2020-07-17,15889
2020-07-18,16236
2020-07-19,16538
2020-07-20,16899
2020-07-21,17279
2020-07-22,17621
2020-07-23,18068
2020-07-24,18365
2020-07-25,18741
2020-07-26,19125
2020-07-27,19592
2020-07-28,19995
2020-07-29,20572
2020-07-30,20969
2020-07-31,21399
2020-08-01,21767
2020-08-02,22144
2020-08-03,22616
2020-08-04,23026
2020-08-05,23380
2020-08-06,23936
2020-08-07,24601
2020-08-08,25287
2020-08-09,25727
2020-08-10,26162
2020-08-11,26624
2020-08-12,27153
2020-08-13,27761
2020-08-14,28299
2020-08-15,28882
2020-08-16,29400
2020-08-17,29952
2020-08-18,30465
2020-08-19,31016
2020-08-20,31610
2020-08-21,32267
2020-08-22,32855
2020-08-23,33470
2020-08-24,34103
2020-08-25,34740
2020-08-26,35453
2020-08-27,36213
2020-08-28,37082
2020-08-29,37943
2020-08-30,39037
2020-08-31,40086
2020-09-01,40987
2020-09-02,42041
2020-09-03,43400
2020-09-04,44280
2020-09-05,45157
2020-09-06,46333
2020-09-07,47379
2020-09-08,48393
2020-09-09,49397
2020-09-10,50671
2020-09-11,51635
2020-09-12,52840
2020-09-13,54220
2020-09-14,55099
2020-09-15,56175
2020-09-16,57469
2020-09-17,58582
2020-09-18,59840
2020-09-19,60828
2020-09-20,61966
2020-09-21,63318
2020-09-22,64554
2020-09-23,65687
2020-09-24,66731
2020-09-25,67902
2020-09-26,69224
2020-09-27,70441
2020-09-28,71339
2020-09-29,72577
2020-09-30,73736
2020-10-01,74989
2020-10-02,76187
2020-10-03,77452
2020-10-04,78850
2020-10-05,79872
2020-10-06,80979
2020-10-07,82190
2020-10-08,83372
2020-10-09,84315
2020-10-10,85574
2020-10-11,86963
2020-10-12,88174
2020-10-13,89228
2020-10-14,90266
2020-10-15,91337
2020-10-16,92382
2020-10-17,93356
2020-10-18,94327
2020-10-19,95253
2020-10-20,96217
2020-10-21,97217
2020-10-22,98206
2020-10-23,99158
2020-10-24,100220
2020-10-25,100991
2020-10-26,101897
