date,case
2020-03-18,38
2020-03-19,50
2020-03-20,14
2020-03-21,44
2020-03-22,36
2020-03-23,51
2020-03-24,71
2020-03-25,46
2020-03-26,43
2020-03-27,51
2020-03-28,37
2020-03-29,98
2020-03-30,26
2020-03-31,14
2020-04-01,75
2020-04-02,93
2020-04-03,81
2020-04-04,81
2020-04-05,80
2020-04-06,148
2020-04-07,144
2020-04-08,109
2020-04-09,167
2020-04-10,91
2020-04-11,93
2020-04-12,179
2020-04-13,160
2020-04-14,107
2020-04-15,98
2020-04-16,223
2020-04-17,153
2020-04-18,79
2020-04-19,131
2020-04-20,79
2020-04-21,167
2020-04-22,120
2020-04-23,107
2020-04-24,99
2020-04-25,76
2020-04-26,65
2020-04-27,86
2020-04-28,118
2020-04-29,83
2020-04-30,105
2020-05-01,145
2020-05-02,72
2020-05-03,62
2020-05-04,55
2020-05-05,169
2020-05-06,68
2020-05-07,66
2020-05-08,126
2020-05-09,57
2020-05-10,182
2020-05-11,55
2020-05-12,108
2020-05-13,134
2020-05-14,180
2020-05-15,62
2020-05-16,116
2020-05-17,127
2020-05-18,74
2020-05-19,57
2020-05-20,97
2020-05-21,70
2020-05-22,96
2020-05-23,127
2020-05-24,118
2020-05-25,67
2020-05-26,61
2020-05-27,137
2020-05-28,103
2020-05-29,124
2020-05-30,98
2020-05-31,121
2020-06-01,111
2020-06-02,76
2020-06-03,80
2020-06-04,61
2020-06-05,84
2020-06-06,102
2020-06-07,160
2020-06-08,91
2020-06-09,239
2020-06-10,147
2020-06-11,129
2020-06-12,76
2020-06-13,120
2020-06-14,115
2020-06-15,105
2020-06-16,124
2020-06-17,117
2020-06-18,176
2020-06-19,140
2020-06-20,178
2020-06-21,127
2020-06-22,127
2020-06-23,166
2020-06-24,154
2020-06-25,195
2020-06-26,168
2020-06-27,213
2020-06-28,132
2020-06-29,95
2020-06-30,196
2020-07-01,206
2020-07-02,195
2020-07-03,147
2020-07-04,215
2020-07-05,256
2020-07-06,231
2020-07-07,199
2020-07-08,344
2020-07-09,290
2020-07-10,239
2020-07-11,359
2020-07-12,404
2020-07-13,278
2020-07-14,275
2020-07-15,259
2020-07-16,293
2020-07-17,241
2020-07-18,331
2020-07-19,313
2020-07-20,361
2020-07-21,441
2020-07-22,376
2020-07-23,416
2020-07-24,285
2020-07-25,393
2020-07-26,378
2020-07-27,472
2020-07-28,412
2020-07-29,585
2020-07-30,299
2020-07-31,432
2020-08-01,374
2020-08-02,379
2020-08-03,489
2020-08-04,466
2020-08-05,357
2020-08-06,597
2020-08-07,658
2020-08-08,721
2020-08-09,472
2020-08-10,479
2020-08-11,471
2020-08-12,578
2020-08-13,621
2020-08-14,575
2020-08-15,598
2020-08-16,518
2020-08-17,538
2020-08-18,505
2020-08-19,565
2020-08-20,595
2020-08-21,641
2020-08-22,601
2020-08-23,637
2020-08-24,659
2020-08-25,636
2020-08-26,711
2020-08-27,820
2020-08-28,816
2020-08-29,888
2020-08-30,1114
2020-08-31,1029
2020-09-01,941
2020-09-02,1053
2020-09-03,1406
2020-09-04,895
2020-09-05,842
2020-09-06,1245
2020-09-07,1105
2020-09-08,1015
2020-09-09,1026
2020-09-10,1450
2020-09-11,1034
2020-09-12,1440
2020-09-13,1103
2020-09-14,1062
2020-09-15,1027
2020-09-16,1505
2020-09-17,1014
2020-09-18,1403
2020-09-19,932
2020-09-20,1079
2020-09-21,1310
2020-09-22,1122
2020-09-23,1187
2020-09-24,1133
2020-09-25,1289
2020-09-26,1257
2020-09-27,1186
2020-09-28,807
2020-09-29,1132
2020-09-30,1059
2020-10-01,1153
2020-10-02,1098
2020-10-03,1165
2020-10-04,1430
2020-10-05,822
2020-10-06,1007
2020-10-07,1340
2020-10-08,1009
2020-10-09,972
2020-10-10,1253
2020-10-11,1389
2020-10-12,1168
2020-10-13,1054
2020-10-14,1038
2020-10-15,1071
2020-10-16,1045
2020-10-17,974
2020-10-18,971
2020-10-19,926
2020-10-20,964
2020-10-21,1000
2020-10-22,989
2020-10-23,952
2020-10-24,1062
2020-10-25,771
2020-10-26,906
2020-10-27,781
2020-10-28,844
2020-10-29,713
2020-10-30,612
2020-10-31,750
2020-11-01,608
2020-11-02,1024
2020-11-03,617
2020-11-04,774
2020-11-05,791
2020-11-06,672
2020-11-07,1118
2020-11-08,826
2020-11-09,716
2020-11-10,1013
2020-11-11,587
2020-11-12,831
2020-11-13,1033
2020-11-14,1255
2020-11-15,1165
2020-11-16,1006
2020-11-17,1038
2020-11-18,1147
2020-11-19,1185
2020-11-20,1240
2020-11-21,1579
2020-11-22,1342
2020-11-23,1009
2020-11-24,1015
2020-11-25,1273
2020-11-26,1064
2020-11-27,1436
