date,retail_recreation,grocery_pahrmacy,parks,transit_station,workplace,residential
2020-03-18,-22,-3,-28,-32,-19,11
2020-03-19,-28,-12,-33,-38,-21,12
2020-03-20,-30,-11,-32,-42,-23,15
2020-03-21,-35,-5,-38,-40,-10,11
2020-03-22,-49,-22,-59,-49,-12,14
2020-03-23,-40,-19,-43,-53,-34,18
2020-03-24,-43,-18,-46,-56,-40,19
2020-03-25,-54,-29,-55,-69,-69,28
2020-03-26,-47,-24,-46,-60,-43,20
2020-03-27,-46,-17,-43,-61,-44,22
2020-03-28,-54,-21,-51,-58,-31,17
2020-03-29,-59,-28,-63,-60,-26,17
2020-03-30,-51,-26,-50,-63,-45,22
2020-03-31,-50,-21,-52,-62,-47,22
2020-04-01,-47,-16,-49,-62,-47,21
2020-04-02,-48,-19,-46,-63,-47,22
2020-04-03,-47,-19,-44,-63,-46,23
2020-04-04,-53,-21,-52,-60,-34,18
2020-04-05,-57,-27,-64,-62,-28,17
2020-04-06,-50,-30,-52,-63,-44,22
2020-04-07,-47,-18,-48,-62,-46,21
2020-04-08,-48,-23,-51,-63,-46,22
2020-04-09,-47,-17,-48,-61,-45,20
2020-04-10,-68,-46,-61,-79,-73,34
2020-04-11,-63,-34,-61,-69,-43,22
2020-04-12,-67,-39,-71,-70,-33,20
2020-04-13,-55,-31,-53,-69,-50,25
2020-04-14,-55,-28,-53,-68,-51,24
2020-04-15,-56,-30,-55,-68,-51,25
2020-04-16,-55,-29,-51,-69,-51,24
2020-04-17,-55,-28,-47,-70,-50,26
2020-04-18,-62,-34,-59,-66,-37,20
2020-04-19,-64,-36,-67,-67,-29,18
2020-04-20,-56,-32,-53,-69,-49,24
2020-04-21,-58,-33,-56,-69,-51,24
2020-04-22,-56,-31,-54,-67,-50,23
2020-04-23,-54,-24,-52,-65,-50,22
2020-04-24,-64,-37,-59,-73,-55,29
2020-04-25,-65,-35,-63,-69,-41,22
2020-04-26,-68,-43,-73,-72,-33,21
2020-04-27,-60,-38,-58,-71,-50,26
2020-04-28,-60,-34,-58,-70,-51,25
2020-04-29,-59,-35,-58,-70,-50,24
2020-04-30,-57,-28,-54,-68,-49,24
2020-05-01,-61,-28,-54,-76,-70,32
2020-05-02,-62,-29,-59,-67,-39,21
2020-05-03,-64,-34,-68,-68,-29,19
2020-05-04,-56,-31,-54,-68,-48,24
2020-05-05,-57,-29,-54,-68,-50,24
2020-05-06,-57,-31,-56,-68,-49,24
2020-05-07,-61,-29,-94,-73,-70,30
2020-05-08,-56,-24,-94,-65,-48,26
2020-05-09,-60,-25,-95,-62,-36,20
2020-05-10,-63,-31,-96,-64,-28,19
2020-05-11,-52,-21,-94,-63,-46,24
2020-05-12,-55,-24,-94,-64,-49,24
2020-05-13,-54,-22,-94,-63,-48,24
2020-05-14,-53,-20,-92,-64,-48,23
2020-05-15,-50,-14,-91,-65,-46,23
2020-05-16,-54,-14,-93,-60,-33,18
2020-05-17,-56,-18,-94,-62,-24,17
2020-05-18,-51,-22,-92,-64,-46,23
2020-05-19,-47,-8,-92,-61,-47,22
2020-05-20,-48,-14,-91,-61,-47,22
2020-05-21,-46,-1,-90,-65,-69,26
2020-05-22,-46,-4,-90,-63,-60,27
2020-05-23,-54,-6,-92,-57,-48,19
2020-05-24,-65,-34,-93,-61,-37,13
2020-05-25,-59,-28,-91,-73,-78,26
2020-05-26,-54,-21,-91,-66,-58,23
2020-05-27,-52,-21,-91,-65,-52,23
2020-05-28,-50,-17,-91,-64,-49,22
2020-05-29,-49,-16,-90,-64,-47,24
2020-05-30,-54,-18,-91,-60,-33,17
2020-05-31,-56,-23,-93,-60,-22,15
2020-06-01,-51,-18,-90,-69,-68,27
2020-06-02,-46,-14,-91,-58,-41,19
2020-06-03,-47,-16,-91,-59,-42,20
2020-06-04,-46,-14,-90,-59,-41,20
