date,rh,avt,mxt,mnt
2020-03-18,85,27.2,32.8,25.2
2020-03-19,92,26,31.8,24.4
2020-03-20,89,26.3,31.8,23.2
2020-03-21,89,26.8,33,24.2
2020-03-22,83,27.9,33.2,25.4
2020-03-23,94,25.1,31.8,23.3
2020-03-24,88,25.8,32.2,22.8
2020-03-25,91,26.4,32,24.2
2020-03-26,85,27.5,33.4,23.9
2020-03-27,86,27.4,32.4,24.1
2020-03-28,91,26.4,33,24.2
2020-03-29,88,26.1,32.6,23
2020-03-30,89,27,31.8,23.3
2020-03-31,90,26.5,31.8,24.4
2020-04-01,88,26.6,31.4,23.4
2020-04-02,93,26.2,31.6,24
2020-04-03,93,26.1,32.2,24.8
2020-04-04,89,27.3,33,24.2
2020-04-05,91,26.3,,24.2
2020-04-06,90,26.1,30.2,23.8
2020-04-07,87,26.5,31.8,23.7
2020-04-08,84,27.3,31.8,23.4
2020-04-09,84,27.7,33,24
2020-04-10,86,27.7,32.8,24.2
2020-04-11,86,27.6,32.2,25
2020-04-12,84,27.5,32.4,24
2020-04-13,78,27.3,33,23
2020-04-14,83,26.8,32.2,23.8
2020-04-15,87,26.6,32.4,23.8
2020-04-16,86,27,32.6,23.8
2020-04-17,87,26.6,32,23.8
2020-04-18,93,25.2,31.2,22.2
2020-04-19,86,27.2,32.8,23
2020-04-20,88,27.4,32.8,24.2
2020-04-21,87,27.7,32,25.2
2020-04-22,84,28.2,33.6,25
2020-04-23,84,28.6,34.2,25.1
2020-04-24,82,27.8,33,24
2020-04-25,88,26.5,32.2,24
2020-04-26,84,27.8,33.2,24.2
2020-04-27,90,26.4,31.6,24.6
2020-04-28,89,27.3,31.2,25
2020-04-29,90,26.2,31.6,23.8
2020-04-30,83,26.4,33,22.4
2020-05-01,81,27.1,33.2,
2020-05-02,86,27,,
2020-05-03,86,26.8,,
2020-05-04,80,27.9,34.2,23.4
2020-05-05,88,26.5,32,
2020-05-06,89,26.8,32.2,23.8
2020-05-07,86,27.1,32,23.8
2020-05-08,88,26.8,32,24
2020-05-09,92,26.5,33,24
2020-05-10,85,26.9,32.6,
2020-05-11,96,25.4,31.6,23.8
2020-05-12,85,26.8,33,23.2
2020-05-13,82,27.3,33.2,23.6
2020-05-14,83,27.1,32.2,24.2
2020-05-15,85,26.9,32.4,23.4
2020-05-16,83,27.6,33.2,24
2020-05-17,85,27.8,32.4,24.6
2020-05-18,91,26.3,31.4,24.4
2020-05-19,92,26.3,30.4,24
2020-05-20,89,26.8,32.4,24
2020-05-21,90,26.5,29.4,24.3
2020-05-22,85,27.6,32.8,24.2
2020-05-23,84,27,32.6,23
2020-05-24,85,27,32.6,23.4
2020-05-25,86,27.3,32.8,23.4
2020-05-26,95,25.6,28.4,24.1
2020-05-27,88,26.7,32,23.8
2020-05-28,90,25.9,33.8,24
2020-05-29,84,26.9,32.4,23.2
2020-05-30,86,27,32.4,23.4
2020-05-31,90,26.5,31.1,24
2020-06-01,87,27.1,31.2,24.2
2020-06-02,87,26.7,31,24
2020-06-03,83,27.1,32.2,23.4
2020-06-04,83,26.4,31.8,23
2020-06-05,94,24.4,30.2,22.6
2020-06-06,88,25.6,30.4,22.6
2020-06-07,86,26.5,30.6,23.2
2020-06-08,85,26.8,31.6,24.4
2020-06-09,85,26.5,31,24
2020-06-10,84,25.3,32,21
2020-06-11,85,26.4,31.6,23.6
2020-06-12,82,25.8,31,22.8
2020-06-13,81,25.5,31.4,21.1
2020-06-14,86,26.8,30.6,22
2020-06-15,88,27,31.7,24.2
2020-06-16,80,27.9,33.4,24.6
2020-06-17,84,26.8,32.4,23.6
2020-06-18,86,27.2,32.3,24
2020-06-19,82,26.4,30.6,24.2
2020-06-20,84,25.9,31.6,22
2020-06-21,87,25.8,32,22.4
2020-06-22,84,26.8,31.6,24
2020-06-23,82,25.9,31.8,22.2
2020-06-24,82,26.6,31.4,22.7
2020-06-25,82,25.2,31.6,21.8
2020-06-26,84,24.5,30,21
2020-06-27,81,25.6,32.8,21.4
2020-06-28,86,24.9,31.2,21.2
2020-06-29,81,26.2,32,21.4
2020-06-30,82,25.8,31.4,22.4
2020-07-01,82,25.7,30.4,22.7
2020-07-02,82,26.1,30,23.2
2020-07-03,80,26.2,30.8,23.8
2020-07-04,82,25.4,31.2,21.8
2020-07-05,84,25.3,,21.3
2020-07-06,82,26.1,30.2,21.4
2020-07-07,82,26.1,31.1,22.8
2020-07-08,82,25.4,31.4,22
2020-07-09,80,26.2,31,22.2
2020-07-10,85,25.2,30.2,23
2020-07-11,83,25.9,31.4,22
2020-07-12,81,26.7,31,23
2020-07-13,84,25.6,31.4,22
2020-07-14,84,26.4,31.8,22.2
2020-07-15,83,26.3,32.8,22.2
2020-07-16,83,26.7,32.2,23.2
2020-07-17,86,25.9,,23
2020-07-18,81,26.1,30,23
2020-07-19,83,25.3,30.6,21.6
2020-07-20,78,26.7,31.6,21.8
2020-07-21,84,26.3,,22
2020-07-22,84,25.5,31.2,22
2020-07-23,78,26,32.4,22
2020-07-24,78,24.7,30.6,21
2020-07-25,76,24.4,31,
2020-07-26,74,24.3,31.4,19.1
2020-07-27,78,24.1,31,19.2
2020-07-28,78,24.3,30.2,19.4
2020-07-29,80,24.9,29.2,21
2020-07-30,77,23.1,29.6,18.4
2020-07-31,78,23.7,29.6,18
2020-08-01,79,24.6,30.8,20
2020-08-02,80,24.5,29.8,21.2
2020-08-03,84,23.7,29.7,19.9
2020-08-04,84,25,28.4,21
2020-08-05,86,24.9,29.8,21
2020-08-06,79,24.8,32,20.4
2020-08-07,81,25.5,32.4,20.8
2020-08-08,82,24.7,29.7,20.9
2020-08-09,80,25.2,31.8,20.9
2020-08-10,84,24.7,30.6,20.8
