date,case
2020-04-15,704
2020-04-16,689
2020-04-17,453
2020-04-18,297
2020-04-19,418
2020-04-20,280
2020-04-21,415
2020-04-22,296
2020-04-23,278
2020-04-24,267
2020-04-25,225
2020-04-26,146
2020-04-27,111
2020-04-28,207
2020-04-29,180
2020-04-30,223
2020-05-01,128
2020-05-02,160
2020-05-03,252
2020-05-04,117
2020-05-05,142
2020-05-06,124
2020-05-07,111
2020-05-08,95
2020-05-09,62
2020-05-10,89
2020-05-11,44
2020-05-12,89
2020-05-13,80
2020-05-14,166
2020-05-15,81
2020-05-16,47
2020-05-17,42
2020-05-18,50
2020-05-19,49
2020-05-20,55
2020-05-21,59
2020-05-22,38
2020-05-23,38
2020-05-24,22
2020-05-25,27
2020-05-26,16
2020-05-27,30
2020-05-28,25
2020-05-29,30
2020-05-30,21
2020-05-31,32
2020-06-01,21
2020-06-02,21
2020-06-03,36
2020-06-04,25
2020-06-05,15
2020-06-06,0
2020-06-07,55
2020-06-08,15
2020-06-09,31
2020-06-10,21
2020-06-11,36
2020-06-12,25
2020-06-13,8
2020-06-14,15
2020-06-15,9
2020-06-16,17
2020-06-17,16
2020-06-18,29
2020-06-19,18
2020-06-20,21
2020-06-21,18
2020-06-22,10
2020-06-23,47
2020-06-24,52
2020-06-25,46
2020-06-26,14
2020-06-27,9
2020-06-28,19
2020-06-29,6025
2020-06-30,34
2020-07-01,9
2020-07-02,38
2020-07-03,37
2020-07-04,23
2020-07-05,37
2020-07-06,44
2020-07-07,68
2020-07-08,31
2020-07-09,91
2020-07-10,45
2020-07-11,29
2020-07-12,42
2020-07-13,50
2020-07-14,68
2020-07-15,56
2020-07-16,109
2020-07-17,51
2020-07-18,47
2020-07-19,44
2020-07-20,47
2020-07-21,96
2020-07-22,73
2020-07-23,66
2020-07-24,87
2020-07-25,87
2020-07-26,61
2020-07-27,66
2020-07-28,114
2020-07-29,91
2020-07-30,103
2020-07-31,70
2020-08-01,97
2020-08-02,86
2020-08-03,74
2020-08-04,105
2020-08-05,90
2020-08-06,112
2020-08-07,117
2020-08-08,65
2020-08-09,90
2020-08-10,93
2020-08-11,0
2020-08-12,300
2020-08-13,119
2020-08-14,136
2020-08-15,95
2020-08-16,145
2020-08-17,105
2020-08-18,172
2020-08-19,101
2020-08-20,183
2020-08-21,155
2020-08-22,133
2020-08-23,206
2020-08-24,155
2020-08-25,210
2020-08-26,166
2020-08-27,143
2020-08-28,197
2020-08-29,160
2020-08-30,188
2020-08-31,190
2020-09-01,216
2020-09-02,296
2020-09-03,232
2020-09-04,308
2020-09-05,274
2020-09-06,327
2020-09-07,315
2020-09-08,304
2020-09-09,416
2020-09-10,393
2020-09-11,311
2020-09-12,218
2020-09-13,278
2020-09-14,243
2020-09-15,247
2020-09-16,377
2020-09-17,320
2020-09-18,241
2020-09-19,282
2020-09-20,354
2020-09-21,531
2020-09-22,620
2020-09-23,584
2020-09-24,361
2020-09-25,587
2020-09-26,397
2020-09-27,504
2020-09-28,388
2020-09-29,551
2020-09-30,497
2020-10-01,1070
2020-10-02,1965
2020-10-03,989
2020-10-04,916
2020-10-05,1310
2020-10-06,1252
2020-10-07,1457
2020-10-08,1174
2020-10-09,637
2020-10-10,801
2020-10-11,1441
2020-10-12,1722
2020-10-13,1843
2020-10-14,1394
2020-10-15,1166
2020-10-16,1646
2020-10-17,1945
2020-10-18,1480
2020-10-19,2862
2020-10-20,1646
2020-10-21,1718
2020-10-22,2221
2020-10-23,1791
2020-10-24,1807
2020-10-25,1999
2020-10-26,2477
2020-10-27,1933
2020-10-28,2431
2020-10-29,1568
2020-10-30,2056
2020-10-31,1739
2020-11-01,1575
2020-11-02,2307
2020-11-03,2083
2020-11-04,1948
2020-11-05,2352
2020-11-06,1804
2020-11-07,2088
2020-11-08,1501
2020-11-09,2053
2020-11-10,3929
2020-11-11,2917
2020-11-12,2588
2020-11-13,2643
2020-11-14,674
2020-11-15,2102
2020-11-16,2023
2020-11-17,2540
2020-11-18,1908
2020-11-19,2547
2020-11-20,2979
2020-11-21,2075
2020-11-22,1409
2020-11-23,2503
2020-11-24,2085
2020-11-25,1800
2020-11-26,2260
2020-11-27,1639
2020-11-28,2069
2020-11-29,1964
2020-11-30,2614
2020-12-01,2081
2020-12-02,2823
2020-12-03,2376
2020-12-04,3198
2020-12-05,2460
2020-12-06,2203
2020-12-07,2550
2020-12-08,4144
2020-12-09,4755
2020-12-10,4283
2020-12-11,4166
2020-12-12,5322
2020-12-13,4238
2020-12-14,6777
2020-12-15,5762
2020-12-16,7378
2020-12-17,6931
2020-12-18,11577
2020-12-19,9458
2020-12-20,10201
2020-12-21,9873
2020-12-22,10713
2020-12-23,9790
2020-12-24,8516
2020-12-25,9719
2020-12-26,12341
2020-12-27,14875
2020-12-28,12830
2020-12-29,12404
2020-12-30,15089
2020-12-31,13178
2021-01-01,14212
2021-01-02,11370
2021-01-03,14700
2021-01-04,14892
2021-01-05,10150
2021-01-06,17111
2021-01-07,15299
2021-01-08,13674
2021-01-09,10110
2021-01-10,8559
2021-01-11,10020
2021-01-12,9804
2021-01-13,10977
2021-01-14,8838
2021-01-15,9995
2021-01-16,7051
2021-01-17,6237
2021-01-18,6190
2021-01-19,7735
2021-01-20,7933
2021-01-21,6291
2021-01-22,5720
2021-01-23,3836
2021-01-24,3816
2021-01-25,4076
2021-01-26,4367
2021-01-27,5258
2021-01-28,3541
2021-01-29,3002
2021-01-30,2851
2021-01-31,2765
2021-02-01,2973
2021-02-02,3268
2021-02-03,2671
2021-02-04,2351
2021-02-05,2088
2021-02-06,1770
2021-02-07,1567
2021-02-08,1579
2021-02-09,1588
