date,retail_recreation,grocery_pahrmacy,parks,transit_station,workplace,residential
2020-04-15,-79,-32,-6,-78,-77,34
2020-04-16,-79,-32,-15,-79,-76,34
2020-04-17,-81,-34,-43,-79,-75,36
2020-04-18,-84,-38,-47,-77,-59,23
2020-04-19,-83,-42,-6,-75,-56,17
2020-04-20,-77,-34,1,-77,-75,32
2020-04-21,-78,-33,-3,-77,-75,33
2020-04-22,-79,-32,3,-77,-74,33
2020-04-23,-78,-30,8,-77,-74,33
2020-04-24,-79,-30,-5,-75,-73,34
2020-04-25,-82,-35,-25,-74,-57,21
2020-04-26,-81,-38,5,-72,-54,16
2020-04-27,-76,-32,-2,-76,-73,31
2020-04-28,-82,-42,-62,-80,-75,32
2020-04-29,-79,-33,-35,-77,-73,33
2020-04-30,-81,-35,-43,-78,-74,34
2020-05-01,-80,-30,-32,-75,-72,34
2020-05-02,-81,-31,-17,-71,-54,20
2020-05-03,-82,-40,-23,-74,-53,17
2020-05-04,-75,-29,11,-74,-72,30
2020-05-05,-77,-29,0,-75,-72,31
2020-05-06,-77,-27,16,-74,-71,31
2020-05-07,-75,-22,21,-73,-71,31
2020-05-08,-79,-27,32,-76,-81,35
2020-05-09,-80,-30,5,-70,-53,19
2020-05-10,-83,-41,-36,-75,-51,17
2020-05-11,-75,-28,-17,-74,-71,30
2020-05-12,-75,-27,6,-73,-70,30
2020-05-13,-77,-29,-12,-74,-70,31
2020-05-14,-75,-26,8,-74,-70,30
2020-05-15,-75,-24,21,-71,-68,30
2020-05-16,-78,-28,-2,-68,-49,18
2020-05-17,-77,-31,40,-67,-46,14
2020-05-18,-70,-22,60,-70,-68,28
2020-05-19,-71,-21,64,-69,-68,28
2020-05-20,-72,-19,75,-69,-68,28
2020-05-21,-72,-19,54,-70,-68,29
2020-05-22,-73,-19,25,-69,-66,29
2020-05-23,-76,-24,-10,-67,-45,18
2020-05-24,-74,-28,47,-63,-43,12
2020-05-25,-70,-23,160,-72,-82,28
2020-05-26,-70,-19,57,-68,-67,27
2020-05-27,-71,-20,54,-69,-66,27
2020-05-28,-70,-18,66,-68,-66,28
2020-05-29,-71,-16,61,-66,-64,27
2020-05-30,-74,-20,48,-61,-35,14
2020-05-31,-73,-25,68,-61,-33,11
2020-06-01,-65,-16,75,-65,-63,25
2020-06-02,-68,-18,70,-66,-63,25
2020-06-03,-71,-23,1,-68,-63,27
2020-06-04,-70,-21,7,-68,-63,28
2020-06-05,-71,-20,-3,-67,-62,28
2020-06-06,-75,-27,-36,-65,-38,17
2020-06-07,-72,-27,11,-62,-35,12
2020-06-08,-65,-19,33,-66,-61,25
2020-06-09,-67,-20,48,-66,-61,25
2020-06-10,-71,-25,-21,-69,-62,28
2020-06-11,-68,-21,7,-68,-62,27
2020-06-12,-69,-19,1,-66,-60,27
2020-06-13,-69,-18,54,-58,-28,12
2020-06-14,-68,-23,71,-58,-27,10
2020-06-15,-55,-16,58,-62,-59,23
2020-06-16,-59,-16,53,-63,-60,24
2020-06-17,-63,-20,17,-65,-60,25
2020-06-18,-63,-19,10,-66,-61,26
2020-06-19,-62,-14,19,-62,-58,24
2020-06-20,-63,-15,43,-54,-25,11
2020-06-21,-63,-22,39,-57,-23,9
2020-06-22,-54,-13,97,-60,-60,22
2020-06-23,-58,-13,90,-60,-60,22
2020-06-24,-60,-12,89,-61,-58,22
2020-06-25,-60,-11,88,-61,-59,22
2020-06-26,-61,-11,57,-59,-57,22
2020-06-27,-65,-18,-8,-57,-29,12
2020-06-28,-62,-23,26,-55,-22,9
2020-06-29,-55,-15,34,-61,-58,22
2020-06-30,-58,-18,12,-63,-58,23
2020-07-01,-58,-17,24,-62,-57,23
2020-07-02,-58,-17,16,-62,-58,23
2020-07-03,-58,-13,35,-58,-56,22
2020-07-04,-57,-19,0,-52,-23,10
2020-07-05,-52,-20,59,-50,-20,7
2020-07-06,-48,-15,53,-58,-57,20
2020-07-07,-52,-18,32,-59,-58,21
2020-07-08,-55,-20,-5,-61,-57,22
2020-07-09,-54,-18,5,-60,-57,22
2020-07-10,-52,-14,36,-56,-55,19
2020-07-11,-54,-18,36,-48,-20,7
2020-07-12,-51,-20,72,-47,-17,5
2020-07-13,-47,-15,65,-57,-56,19
2020-07-14,-49,-17,40,-58,-57,20
2020-07-15,-48,-19,28,-60,-55,20
2020-07-16,-46,-16,48,-59,-55,20
2020-07-17,-46,-14,71,-54,-53,17
2020-07-18,-50,-19,45,-48,-19,6
2020-07-19,-49,-25,13,-51,-18,6
2020-07-20,-40,-14,89,-57,-57,18
2020-07-21,-44,-17,67,-58,-58,18
2020-07-22,-45,-18,66,-58,-56,19
2020-07-23,-45,-17,56,-58,-56,19
2020-07-24,-47,-18,45,-55,-55,18
2020-07-25,-52,-25,-27,-52,-21,8
2020-07-26,-46,-24,25,-48,-15,5
2020-07-27,-44,-19,11,-59,-59,19
2020-07-28,-43,-17,49,-57,-58,18
2020-07-29,-42,-16,65,-56,-57,18
2020-07-30,-41,-13,75,-56,-58,17
2020-07-31,-46,-18,55,-54,-57,15
2020-08-01,-49,-21,26,-46,-19,4
2020-08-02,-44,-23,49,-45,-15,3
2020-08-03,-35,-17,61,-56,-58,16
2020-08-04,-36,-19,54,-56,-58,17
2020-08-05,-36,-20,55,-56,-57,17
2020-08-06,-42,-17,57,-57,-58,17
2020-08-07,-46,-18,44,-55,-56,16
2020-08-08,-49,-22,23,-48,-20,4
2020-08-09,-45,-23,45,-46,-15,2
2020-08-10,-32,-16,59,-55,-58,15
2020-08-11,-35,-19,46,-56,-58,16
2020-08-12,-36,-19,37,-57,-57,17
2020-08-13,-43,-20,23,-58,-58,18
2020-08-14,-45,-21,0,-55,-56,17
2020-08-15,-48,-25,-19,-49,-21,6
2020-08-16,-44,-26,12,-47,-16,4
2020-08-17,-30,-22,27,-55,-58,16
2020-08-18,-31,-21,35,-55,-56,16
2020-08-19,-38,-29,-22,-58,-57,18
2020-08-20,-38,-16,61,-55,-56,16
2020-08-21,-43,-20,13,-54,-55,16
2020-08-22,-45,-22,12,-45,-17,4
2020-08-23,-41,-25,27,-45,-14,3
2020-08-24,-26,-21,33,-54,-56,15
2020-08-25,-31,-23,-3,-55,-57,17
2020-08-26,-25,-19,39,-52,-54,15
2020-08-27,-40,-23,-2,-56,-56,17
2020-08-28,-39,-17,-1,-52,-55,15
2020-08-29,-43,-23,-18,-45,-19,5
2020-08-30,-35,-23,22,-41,-15,2
2020-08-31,-18,-24,68,-59,-74,17
2020-09-01,-34,-15,41,-52,-56,15
2020-09-02,-37,-18,19,-53,-54,16
2020-09-03,-38,-18,10,-53,-54,16
2020-09-04,-38,-16,17,-48,-51,14
2020-09-05,-38,-18,13,-42,-17,4
2020-09-06,-34,-18,39,-42,-15,3
2020-09-07,-32,-14,34,-49,-54,14
2020-09-08,-35,-15,36,-49,-54,14
2020-09-09,-37,-16,31,-50,-51,14
2020-09-10,-35,-14,42,-48,-51,14
2020-09-11,-36,-14,27,-45,-49,12
2020-09-12,-38,-17,19,-40,-16,4
2020-09-13,-34,-17,62,-38,-13,2
2020-09-14,-32,-13,68,-47,-47,12
2020-09-15,-35,-14,49,-47,-48,13
2020-09-16,-37,-16,40,-48,-47,14
2020-09-17,-36,-15,41,-48,-47,13
2020-09-18,-37,-14,29,-45,-45,12
2020-09-19,-38,-18,21,-41,-16,5
2020-09-20,-35,-18,52,-40,-14,3
2020-09-21,-32,-12,51,-47,-48,13
2020-09-22,-36,-14,37,-47,-48,13
2020-09-23,-41,-18,-7,-50,-46,15
2020-09-24,-40,-15,-1,-50,-47,15
2020-09-25,-40,-13,-10,-47,-45,14
2020-09-26,-40,-17,-18,-43,-16,6
2020-09-27,-40,-21,-10,-45,-16,6
2020-09-28,-33,-13,30,-48,-46,14
2020-09-29,-38,-15,10,-49,-46,15
2020-09-30,-39,-17,-8,-49,-46,15
2020-10-01,-37,-12,10,-49,-44,15
2020-10-02,-47,-20,-35,-49,-44,16
2020-10-03,-42,-16,-32,-44,-17,8
2020-10-04,-45,-26,-45,-48,-17,7
2020-10-05,-36,-13,10,-48,-45,14
2020-10-06,-39,-15,0,-48,-46,15
2020-10-07,-39,-15,11,-49,-44,14
2020-10-08,-41,-16,-6,-50,-45,15
2020-10-09,-41,-14,-9,-47,-42,14
2020-10-10,-39,-16,-17,-42,-14,7
2020-10-11,-36,-18,14,-41,-13,5
2020-10-12,-40,-17,-8,-49,-45,15
2020-10-13,-43,-19,-21,-50,-45,16
2020-10-14,-40,-14,-3,-49,-43,15
2020-10-15,-39,-13,-4,-49,-43,15
2020-10-16,-39,-10,-3,-45,-41,14
2020-10-17,-43,-16,-14,-47,-15,8
2020-10-18,-40,-18,8,-46,-15,7
2020-10-19,-38,-14,16,-51,-46,16
2020-10-20,-41,-15,9,-51,-46,16
2020-10-21,-47,-21,-29,-54,-46,18
2020-10-22,-39,-12,11,-52,-45,16
2020-10-23,-41,-12,-5,-51,-44,16
2020-10-24,-44,-18,-27,-48,-15,8
2020-10-25,-36,-16,0,-46,-14,6
2020-10-26,-33,-14,19,-54,-53,17
2020-10-27,-40,-19,-25,-55,-54,18
2020-10-28,-38,-16,-3,-54,-52,18
2020-10-29,-41,-17,-24,-56,-53,19
2020-10-30,-39,-11,-5,-51,-50,17
2020-10-31,-44,-15,-33,-47,-15,8
2020-11-01,-34,-16,-13,-43,-12,5
2020-11-02,-28,-9,1,-48,-44,14
2020-11-03,-27,-11,-10,-46,-43,14
2020-11-04,-21,-8,10,-43,-41,12
2020-11-05,-64,-18,-9,-60,-50,21
2020-11-06,-65,-15,-12,-60,-49,22
2020-11-07,-66,-18,2,-62,-33,15
2020-11-08,-66,-23,7,-62,-35,12
2020-11-09,-59,-19,4,-58,-51,20
2020-11-10,-61,-16,4,-58,-51,20
2020-11-11,-62,-17,-7,-59,-50,21
2020-11-12,-61,-13,6,-59,-51,21
2020-11-13,-63,-11,-6,-58,-49,21
2020-11-14,-69,-21,-46,-64,-35,16
2020-11-15,-66,-22,-9,-61,-36,12
2020-11-16,-59,-17,-3,-58,-51,20
2020-11-17,-61,-16,-4,-58,-51,20
2020-11-18,-62,-17,-6,-59,-50,21
2020-11-19,-63,-16,-15,-60,-51,22
2020-11-20,-64,-13,-25,-59,-49,22
2020-11-21,-65,-16,-14,-59,-32,14
2020-11-22,-62,-18,24,-58,-33,11
2020-11-23,-58,-16,3,-58,-50,20
2020-11-24,-60,-16,-1,-58,-51,20
2020-11-25,-62,-18,-12,-59,-49,21
2020-11-26,-60,-15,-3,-59,-50,21
2020-11-27,-61,-12,-14,-58,-49,21
2020-11-28,-63,-16,-16,-58,-30,14
2020-11-29,-63,-21,-3,-59,-32,11
2020-11-30,-56,-16,-10,-57,-49,19
2020-12-01,-57,-14,-4,-57,-48,19
2020-12-02,-43,-13,-13,-53,-42,17
2020-12-03,-46,-18,-34,-53,-44,18
2020-12-04,-42,-9,-24,-49,-42,16
2020-12-05,-38,-10,-14,-42,-14,8
2020-12-06,-38,-15,-11,-44,-15,7
2020-12-07,-38,-12,-13,-51,-45,16
2020-12-08,-41,-12,-15,-51,-44,16
2020-12-09,-42,-12,-14,-52,-43,16
2020-12-10,-41,-11,-12,-51,-44,17
2020-12-11,-42,-9,-13,-48,-42,16
2020-12-12,-41,-11,-18,-42,-15,8
2020-12-13,-44,-18,-32,-47,-16,8
2020-12-14,-37,-12,-10,-51,-47,16
2020-12-15,-32,-7,-1,-48,-46,15
2020-12-16,-51,-12,-19,-56,-48,19
2020-12-17,-49,-6,2,-56,-50,19
2020-12-18,-53,-9,-26,-56,-52,20
2020-12-19,-53,-10,-30,-51,-22,11
2020-12-20,-65,-18,-6,-59,-28,10
2020-12-21,-58,-5,-19,-66,-63,23
2020-12-22,-58,-3,-11,-67,-65,24
2020-12-23,-59,4,-21,-68,-65,25
2020-12-24,-61,3,-6,-72,-72,27
2020-12-25,-92,-84,-27,-92,-88,37
2020-12-26,-85,-58,-42,-79,-56,20
2020-12-27,-71,-32,-8,-68,-35,12
2020-12-28,-68,-31,-4,-78,-80,31
2020-12-29,-65,-21,-11,-73,-72,28
2020-12-30,-64,-14,2,-73,-71,28
2020-12-31,-65,-7,-12,-74,-73,29
2021-01-01,-85,-61,-31,-84,-84,36
2021-01-02,-74,-31,-26,-72,-42,18
2021-01-03,-72,-33,-20,-68,-34,13
2021-01-04,-66,-25,-32,-69,-61,25
2021-01-05,-70,-29,-41,-71,-63,27
2021-01-06,-70,-27,-20,-71,-62,27
2021-01-07,-70,-27,-19,-71,-62,28
2021-01-08,-72,-28,-34,-71,-61,28
2021-01-09,-73,-27,-24,-70,-37,17
2021-01-10,-74,-34,-29,-71,-37,14
2021-01-11,-67,-28,-19,-70,-62,26
2021-01-12,-70,-30,-28,-71,-63,27
2021-01-13,-72,-32,-42,-72,-63,27
2021-01-14,-74,-33,-47,-73,-64,28
2021-01-15,-72,-26,-26,-71,-62,27
2021-01-16,-76,-31,-46,-72,-40,18
2021-01-17,-71,-30,6,-68,-37,13
