date,mxt,mnt,avt
2020-04-15,18.2,6.5,12.35
2020-04-16,18.2,6.5,12.35
2020-04-17,18.2,6.5,12.35
2020-04-18,18.2,6.5,12.35
2020-04-19,18.2,6.5,12.35
2020-04-20,18.2,6.5,12.35
2020-04-21,18.2,6.5,12.35
2020-04-22,18.2,6.5,12.35
2020-04-23,18.2,6.5,12.35
2020-04-24,18.2,6.5,12.35
2020-04-25,18.2,6.5,12.35
2020-04-26,18.2,6.5,12.35
2020-04-27,18.2,6.5,12.35
2020-04-28,18.2,6.5,12.35
2020-04-29,18.2,6.5,12.35
2020-04-30,18.2,6.5,12.35
2020-05-01,21.1,9.1,15.1
2020-05-02,21.1,9.1,15.1
2020-05-03,21.1,9.1,15.1
2020-05-04,21.1,9.1,15.1
2020-05-05,21.1,9.1,15.1
2020-05-06,21.1,9.1,15.1
2020-05-07,21.1,9.1,15.1
2020-05-08,21.1,9.1,15.1
2020-05-09,21.1,9.1,15.1
2020-05-10,21.1,9.1,15.1
2020-05-11,21.1,9.1,15.1
2020-05-12,21.1,9.1,15.1
2020-05-13,21.1,9.1,15.1
2020-05-14,21.1,9.1,15.1
2020-05-15,21.1,9.1,15.1
2020-05-16,21.1,9.1,15.1
2020-05-17,21.1,9.1,15.1
2020-05-18,21.1,9.1,15.1
2020-05-19,21.1,9.1,15.1
2020-05-20,21.1,9.1,15.1
2020-05-21,21.1,9.1,15.1
2020-05-22,21.1,9.1,15.1
2020-05-23,21.1,9.1,15.1
2020-05-24,21.1,9.1,15.1
2020-05-25,21.1,9.1,15.1
2020-05-26,21.1,9.1,15.1
2020-05-27,21.1,9.1,15.1
2020-05-28,21.1,9.1,15.1
2020-05-29,21.1,9.1,15.1
2020-05-30,21.1,9.1,15.1
2020-05-31,21.1,9.1,15.1
2020-06-01,22.5,12.6,17.55
2020-06-02,22.5,12.6,17.55
2020-06-03,22.5,12.6,17.55
2020-06-04,22.5,12.6,17.55
2020-06-05,22.5,12.6,17.55
2020-06-06,22.5,12.6,17.55
2020-06-07,22.5,12.6,17.55
2020-06-08,22.5,12.6,17.55
2020-06-09,22.5,12.6,17.55
2020-06-10,22.5,12.6,17.55
