date,rh,avt,mxt,mnt
2020-04-15,64,9.8,17.3,1.3
2020-04-16,68,12.2,19.6,4.7
2020-04-17,73,10.9,14.2,7.6
2020-04-18,81,9.6,14.1,6.4
2020-04-19,68,11.2,17.7,5.4
2020-04-20,62,11.6,17.4,5.9
2020-04-21,58,12.9,17.6,8.4
2020-04-22,59,13.9,20.6,7.5
2020-04-23,61,14.8,23.2,6.8
2020-04-24,62,14.1,21.2,7.1
2020-04-25,73,10.5,15.6,6.9
2020-04-26,64,13.1,20.8,3.3
2020-04-27,68,13.3,18.2,8.3
2020-04-28,90,8.0,10.4,6.9
2020-04-29,83,10.1,13.8,6.8
2020-04-30,83,9.4,13.3,6.6
2020-05-01,80,10.2,14.4,7.4
2020-05-02,67,11.7,17.2,6.7
2020-05-03,70,12.1,15.4,7.8
2020-05-04,70,12.6,16.6,7.8
2020-05-05,67,10.3,14.2,6.8
2020-05-06,66,11.4,17.4,4.3
2020-05-07,64,15.1,22.9,5.7
2020-05-08,58,17.8,24.3,9.2
2020-05-09,58,17.3,24.1,9.1
2020-05-10,72,12.1,17.4,6.2
2020-05-11,60,7.8,11.8,4.4
2020-05-12,61,9.1,15.3,1.2
2020-05-13,64,8.7,11.9,5.0
2020-05-14,65,8.5,13.6,3.0
2020-05-15,62,11.5,18.8,2.3
2020-05-16,63,12.2,16.9,7.2
2020-05-17,63,14.1,20.3,6.2
2020-05-18,56,17.1,23.5,10.8
2020-05-19,63,19.4,26.2,12.7
2020-05-20,56,21.1,27.4,12.3
2020-05-21,55,21.4,27.4,13.4
2020-05-22,55,19.1,22.4,14.2
2020-05-23,60,15.0,19.4,11.6
2020-05-24,66,16.1,21.6,11.1
2020-05-25,56,19.0,25.9,9.1
2020-05-26,57,19.8,26.6,11.3
2020-05-27,62,18.8,24.5,13.5
2020-05-28,60,15.9,20.7,10.9
2020-05-29,55,16.4,22.4,9.9
2020-05-30,58,17.1,23.6,9.3
2020-05-31,55,17.8,23.6,11.7
2020-06-01,59,18.5,24.9,10.9
2020-06-02,57,18.5,24.6,11.6
2020-06-03,73,15.3,18.6,11.9
2020-06-04,73,12.6,16.0,10.0
2020-06-05,65,12.8,15.7,10.8
2020-06-06,75,10.5,13.3,7.6
2020-06-07,80,12.4,17.8,7.9
2020-06-08,73,12.4,15.5,9.9
2020-06-09,64,14.4,18.7,8.1
2020-06-10,81,13.4,15.4,11.5
2020-06-11,82,14.3,19.6,11.1
2020-06-12,83,16.4,19.7,13.4
2020-06-13,71,18.4,23.8,12.4
2020-06-14,70,18.8,23.0,12.9
2020-06-15,67,19.0,24.2,12.1
2020-06-16,66,19.5,24.4,13.8
2020-06-17,74,17.8,22.4,13.0
2020-06-18,85,15.9,19.8,13.8
2020-06-19,79,15.9,19.1,13.9
2020-06-20,73,17.3,22.2,12.7
2020-06-21,69,18.1,22.8,14.7
