date,retail_recreation,grocery_pahrmacy,parks,transit_station,workplace,residential
2021-05-15,-27,-5,-40,-37,-49,6
2021-05-16,-26,-4,-53,-33,-20,4
2021-05-17,-21,3,-45,-40,-40,10
2021-05-18,-22,1,-44,-34,-39,10
2021-05-19,-21,2,-43,-33,-35,9
2021-05-20,-21,3,-40,-37,-32,9
2021-05-21,-20,0,-39,-35,-30,11
2021-05-22,-23,2,-45,-27,-19,6
2021-05-23,-24,0,-50,-26,-10,6
2021-05-24,-23,-2,-45,-33,-29,10
2021-05-25,-17,9,-41,-29,-30,8
2021-05-26,-16,4,-31,-42,-65,16
2021-05-27,-19,4,-39,-32,-29,9
2021-05-28,-14,10,-33,-31,-27,10
2021-05-29,-24,0,-48,-28,-17,6
2021-05-30,-19,6,-46,-24,-10,4
2021-05-31,-14,10,-35,-29,-30,9
