date,rh,avt,mxt,mnt
2020-03-18,86,27.6,29,25.8
2020-03-19,83,28.1,31.4,25.8
2020-03-20,82,27.4,31.2,25.2
2020-03-21,81,28.1,32.4,
2020-03-22,84,27.2,31.2,25
2020-03-23,81,28.2,31.8,25
2020-03-24,78,28.8,32.2,26.4
2020-03-25,81,28.4,32.4,25.6
2020-03-26,78,28.8,31.8,25.8
2020-03-27,81,28.7,31.6,26.4
2020-03-28,81,29,32,26
2020-03-29,78,29.4,33,27.2
2020-03-30,84,27.7,31.8,26.6
2020-03-31,84,28.1,34.4,26
2020-04-01,80,28.1,31.8,25.2
2020-04-02,73,29.8,33.8,25.6
2020-04-03,77,29.3,33.6,27
2020-04-04,81,28.9,32,26
2020-04-05,79,28.5,32,27
2020-04-06,86,27.3,32.6,26.8
2020-04-07,77,28.6,32.6,25.6
2020-04-08,78,28.8,32,26
2020-04-09,81,28.9,31,27
2020-04-10,83,28.3,32.2,26.4
2020-04-11,78,29.4,34.2,26
2020-04-12,77,29.6,32.6,26.4
2020-04-13,90,27.7,32,25.8
2020-04-14,85,28,32,25.6
2020-04-15,86,28.1,31.4,25.8
2020-04-16,80,29,32.4,26
2020-04-17,76,29.7,33,26.6
2020-04-18,77,28.7,32.6,26.2
2020-04-19,76,29.6,34,26.4
2020-04-20,78,30,33.6,27
2020-04-21,76,30,32.6,28
2020-04-22,70,30.4,34.8,26
2020-04-23,73,30.8,34.8,27.4
2020-04-24,77,29.3,33,27
2020-04-25,74,29.1,32.6,26.4
2020-04-26,77,29.4,33.4,26.4
2020-04-27,84,27.7,32,25
2020-04-28,82,27.8,31.2,25.8
2020-04-29,78,28.3,32.2,25.6
2020-04-30,82,28.6,31.8,
2020-05-01,80,28.8,31.6,26.4
2020-05-02,85,27.1,30,25.6
2020-05-03,76,29.3,33.4,25.4
2020-05-04,79,28.7,30.6,
2020-05-05,76,29.6,33.8,26.6
2020-05-06,79,29.6,33.4,27
2020-05-07,72,30.2,34.2,27.2
2020-05-08,73,30.2,33.8,27.2
2020-05-09,82,28.4,,27
2020-05-10,81,28.8,32.6,26
2020-05-11,78,29.3,32.6,27
2020-05-12,75,30.3,34.4,27.2
2020-05-13,79,29.9,33.6,27.4
2020-05-14,76,29.4,34.2,26.6
2020-05-15,70,30,33,27.4
2020-05-16,70,30.2,34.6,26
2020-05-17,75,29.9,33.6,27.2
2020-05-18,84,28.2,31.4,27
2020-05-19,76,28.7,33,25.2
2020-05-20,75,29.7,34,
2020-05-21,80,28.9,33.4,24.8
2020-05-22,81,29.7,33,26
2020-05-23,73,29.6,33.8,26.6
2020-05-24,65,31.2,35.6,26
2020-05-25,72,30.4,35,27.6
2020-05-26,73,29.9,34,26.2
2020-05-27,74,29.5,33,27
2020-05-28,76,29.8,33.2,26.2
2020-05-29,78,29.6,34,27.4
2020-05-30,76,29.6,34.2,
2020-05-31,73,29.4,33,27
2020-06-01,73,30.3,33.4,26.2
2020-06-02,74,29.6,34,26.6
2020-06-03,80,28.7,33.2,26
2020-06-04,72,29.5,33,26.8
2020-06-05,74,29.7,32.6,26.2
2020-06-06,76,28.9,32.2,26.4
2020-06-07,71,29.9,33.6,26
2020-06-08,75,29.5,33.2,26.4
2020-06-09,80,28.7,31.4,27.2
2020-06-10,78,29.4,34,26.6
2020-06-11,75,29.8,33.6,27.2
2020-06-12,,,33.6,24.6
2020-06-13,74,29.4,33,25.6
2020-06-14,72,30.3,34.8,26.6
2020-06-15,76,30.1,33,27
2020-06-16,73,30,,27.6
2020-06-17,69,30.3,35,26.4
2020-06-18,74,29.9,33.8,27.4
2020-06-19,75,29.3,32,26
2020-06-20,74,29.3,34.2,26.2
2020-06-21,77,28.9,32.6,26.4
2020-06-22,77,28.8,31.6,26
2020-06-23,80,28,32.8,24.4
2020-06-24,73,28.7,33,25.2
2020-06-25,70,29.6,33.4,26.2
2020-06-26,78,28.9,32.6,26.4
2020-06-27,75,29.3,33.6,26
2020-06-28,71,29.5,33.2,27
2020-06-29,68,29.8,34.2,27
2020-06-30,72,29.7,33.6,26.6
2020-07-01,70,29.8,34.2,26.6
2020-07-02,81,27.3,31,26.4
2020-07-03,74,28.5,32,
2020-07-04,73,29.1,32.6,
2020-07-05,69,28.5,32.4,25
2020-07-06,66,29,33,25.8
2020-07-07,75,28.3,33.2,24.2
2020-07-08,73,29,32.2,25.4
2020-07-09,77,27.8,32,25
2020-07-10,79,27.7,,25.2
2020-07-11,80,28.3,32.6,25.4
2020-07-12,77,28.8,31.8,26
2020-07-13,72,29.1,32.4,26
2020-07-14,74,29.4,32.6,27.2
2020-07-15,82,27.3,30,25.4
2020-07-16,79,28.4,31,25.6
2020-07-17,77,28.6,33,25
2020-07-18,74,28.8,32.6,26
2020-07-19,73,29,32.6,26
2020-07-20,74,29.2,32.6,26.4
2020-07-21,74,28.9,32.2,27
2020-07-22,72,29.4,33,27
2020-07-23,70,29.4,33,27.2
2020-07-24,71,29.2,33.4,26.2
2020-07-25,72,28.7,32.4,25
2020-07-26,64,28.4,32.8,25.8
2020-07-27,65,28.4,33.2,25
2020-07-28,68,28.4,33.2,25.2
2020-07-29,67,28.3,33,24.6
2020-07-30,70,28.2,31.4,26
2020-07-31,60,28,32.2,25.2
2020-08-01,69,27.7,32.2,24.6
2020-08-02,69,28.2,31.8,24
2020-08-03,69,29.5,34,26
2020-08-04,70,29.5,32.8,27.6
2020-08-05,73,28.5,31.4,
2020-08-06,73,29.1,33,25
2020-08-07,77,28.8,32,26.6
2020-08-08,75,29.3,32,
2020-08-09,80,28.6,32.2,25.8
2020-08-10,78,29,33.4,26
2020-08-11,74,29.2,33,27
2020-08-12,74,29,32.8,27
2020-08-13,83,27.1,30.4,27.2
2020-08-14,82,27.5,31.4,24.2
2020-08-15,79,28.5,32.4,25.4
2020-08-16,75,29.1,33.4,26.2
2020-08-17,71,29.4,33.6,26.4
2020-08-18,77,28.3,32.2,26
2020-08-19,75,29,33.8,25.8
2020-08-20,75,29.3,32.6,26.2
2020-08-21,68,29,33,26
2020-08-22,64,29,34,25.4
2020-08-23,66,29.5,34.8,26
2020-08-24,68,29.5,33.8,27
2020-08-25,64,29,34,25.6
2020-08-26,67,29.1,33.8,26
2020-08-27,64,29,34,25.8
2020-08-28,64,29.3,34.4,26.2
2020-08-29,64,29.9,34.4,26.4
2020-08-30,68,29.2,33.8,26.4
2020-08-31,68,29.3,33,26.8
2020-09-01,61,29.9,35,26.6
2020-09-02,70,29.1,32.2,25
2020-09-03,71,28.9,32.6,26.2
2020-09-04,68,30.2,34.8,27.2
2020-09-05,74,29.6,32.4,26.8
2020-09-06,71,29,32.6,26.4
2020-09-07,66,29.7,34,26.8
