date,case
2020-03-18,3
2020-03-19,5
2020-03-20,4
2020-03-21,5
2020-03-22,5
2020-03-23,5
2020-03-24,6
2020-03-25,17
2020-03-26,16
2020-03-27,22
2020-03-28,22
2020-03-29,22
2020-03-30,18
2020-03-31,23
2020-04-01,28
2020-04-02,27
2020-04-03,27
2020-04-04,33
2020-04-05,34
2020-04-06,40
2020-04-07,41
2020-04-08,41
2020-04-09,41
2020-04-10,41
2020-04-11,41
2020-04-12,41
2020-04-13,57
2020-04-14,62
2020-04-15,62
2020-04-16,62
2020-04-17,64
2020-04-18,67
2020-04-19,67
2020-04-20,69
2020-04-21,72
2020-04-22,75
2020-04-23,76
2020-04-24,77
2020-04-25,79
2020-04-26,82
2020-04-27,83
2020-04-28,93
2020-04-29,94
2020-04-30,95
2020-05-01,104
2020-05-02,114
2020-05-03,115
2020-05-04,115
2020-05-05,121
2020-05-06,122
2020-05-07,137
2020-05-08,143
2020-05-09,146
2020-05-10,153
2020-05-11,159
2020-05-12,169
2020-05-13,181
2020-05-14,185
2020-05-15,188
2020-05-16,194
2020-05-17,199
2020-05-18,200
2020-05-19,207
2020-05-20,209
2020-05-21,215
2020-05-22,220
2020-05-23,225
2020-05-24,226
2020-05-25,226
2020-05-26,226
2020-05-27,228
2020-05-28,228
2020-05-29,230
2020-05-30,233
2020-05-31,236
2020-06-01,237
2020-06-02,237
2020-06-03,237
2020-06-04,237
2020-06-05,238
2020-06-06,242
2020-06-07,244
2020-06-08,247
2020-06-09,249
2020-06-10,250
2020-06-11,252
2020-06-12,262
2020-06-13,264
2020-06-14,269
2020-06-15,272
2020-06-16,273
2020-06-17,276
2020-06-18,276
2020-06-19,277
2020-06-20,285
2020-06-21,288
2020-06-22,288
2020-06-23,291
2020-06-24,292
2020-06-25,299
2020-06-26,302
2020-06-27,304
2020-06-28,306
2020-06-29,306
2020-06-30,313
2020-07-01,314
2020-07-02,320
2020-07-03,324
2020-07-04,325
2020-07-05,331
2020-07-06,339
2020-07-07,346
2020-07-08,349
2020-07-09,357
2020-07-10,364
2020-07-11,370
2020-07-12,371
2020-07-13,379
2020-07-14,387
2020-07-15,396
2020-07-16,404
2020-07-17,408
2020-07-18,416
2020-07-19,432
2020-07-20,438
2020-07-21,465
2020-07-22,486
2020-07-23,496
2020-07-24,519
2020-07-25,536
2020-07-26,543
2020-07-27,558
2020-07-28,572
2020-07-29,587
2020-07-30,610
2020-07-31,674
2020-08-01,741
2020-08-02,760
2020-08-03,772
2020-08-04,784
2020-08-05,801
2020-08-06,819
2020-08-07,838
2020-08-08,854
2020-08-09,862
2020-08-10,876
2020-08-11,880
2020-08-12,900
2020-08-13,911
2020-08-14,946
2020-08-15,992
2020-08-16,1025
2020-08-17,1041
2020-08-18,1059
2020-08-19,1090
2020-08-20,1138
2020-08-21,1163
2020-08-22,1178
2020-08-23,1193
2020-08-24,1207
2020-08-25,1248
2020-08-26,1264
2020-08-27,1306
2020-08-28,1326
2020-08-29,1373
2020-08-30,1397
2020-08-31,1425
2020-09-01,1445
