date,retail_recreation,grocery_pahrmacy,parks,transit_station,workplace,residential
2020-03-18,-16,-3,-33,-21,-13,9
2020-03-19,-27,-13,-41,-30,-16,11
2020-03-20,-26,-9,-43,-35,-18,11
2020-03-21,-29,-10,-51,-40,-11,10
2020-03-22,-40,-24,-57,-49,-11,12
2020-03-23,-36,-18,-46,-45,-32,16
2020-03-24,-40,-22,-48,-41,-35,16
2020-03-25,-43,-20,-49,-45,-60,20
2020-03-26,-40,-17,-48,-46,-37,16
2020-03-27,-46,-26,-57,-52,-39,19
2020-03-28,-57,-36,-72,-54,-29,19
2020-03-29,-59,-39,-73,-65,-25,19
2020-03-30,-46,-28,-54,-58,-42,19
2020-03-31,-52,-38,-57,-57,-43,19
2020-04-01,-43,-20,-54,-57,-42,16
2020-04-02,-45,-25,-53,-60,-43,18
2020-04-03,-49,-32,-59,-64,-43,19
2020-04-04,-55,-38,-70,-68,-32,18
2020-04-05,-54,-37,-69,-72,-25,16
2020-04-06,-44,-28,-52,-66,-43,18
2020-04-07,-43,-26,-50,-63,-42,17
2020-04-08,-44,-27,-53,-64,-42,17
2020-04-09,-44,-26,-51,-64,-43,17
2020-04-10,-51,-36,-55,-72,-62,24
2020-04-11,-52,-36,-68,-73,-33,18
2020-04-12,-53,-37,-66,-74,-22,17
2020-04-13,-42,-26,-49,-68,-40,18
2020-04-14,-44,-30,-49,-66,-41,18
2020-04-15,-45,-30,-53,-65,-41,18
2020-04-16,-45,-29,-50,-68,-41,18
2020-04-17,-52,-41,-61,-71,-41,20
2020-04-18,-52,-36,-68,-71,-28,16
2020-04-19,-53,-37,-67,-72,-20,16
2020-04-20,-44,-30,-53,-67,-39,17
2020-04-21,-43,-29,-50,-65,-40,17
2020-04-22,-42,-25,-51,-62,-39,16
2020-04-23,-42,-19,-52,-64,-41,16
2020-04-24,-55,-36,-64,-72,-46,22
2020-04-25,-59,-42,-74,-79,-32,21
2020-04-26,-58,-42,-74,-82,-21,19
2020-04-27,-51,-36,-58,-76,-40,20
2020-04-28,-49,-33,-56,-74,-41,18
2020-04-29,-50,-34,-59,-74,-41,18
2020-04-30,-48,-29,-54,-74,-39,18
2020-05-01,-51,-34,-59,-80,-60,25
2020-05-02,-54,-35,-69,-79,-29,19
2020-05-03,-56,-40,-71,-82,-20,18
2020-05-04,-46,-30,-53,-76,-39,19
2020-05-05,-48,-32,-55,-75,-41,20
2020-05-06,-47,-29,-56,-74,-40,19
2020-05-07,-50,-32,-55,-78,-60,24
2020-05-08,-49,-33,-59,-78,-40,21
2020-05-09,-60,-47,-75,-81,-30,21
2020-05-10,-53,-35,-70,-81,-19,17
2020-05-11,-51,-39,-59,-78,-41,20
2020-05-12,-42,-24,-51,-72,-40,17
2020-05-13,-45,-28,-54,-73,-40,18
2020-05-14,-45,-28,-53,-74,-40,18
2020-05-15,-45,-28,-57,-76,-39,18
2020-05-16,-49,-32,-68,-77,-26,17
2020-05-17,-49,-32,-69,-80,-16,17
2020-05-18,-44,-31,-55,-75,-40,19
2020-05-19,-41,-22,-54,-71,-40,17
2020-05-20,-38,-15,-54,-71,-40,16
2020-05-21,-38,-13,-51,-74,-59,20
2020-05-22,-39,-14,-55,-75,-48,19
2020-05-23,-50,-21,-66,-78,-41,17
