date,rh,avt,mxt,mnt
2020-03-18,86.0,27.6,29.0,25.8
2020-03-19,83.0,28.1,31.4,25.8
2020-03-20,82.0,27.4,31.2,25.2
2020-03-21,81.0,28.1,32.4,26.132857336237677
2020-03-22,84.0,27.2,31.2,25.0
2020-03-23,81.0,28.2,31.8,25.0
2020-03-24,78.0,28.8,32.2,26.4
2020-03-25,81.0,28.4,32.4,25.6
2020-03-26,78.0,28.8,31.8,25.8
2020-03-27,81.0,28.7,31.6,26.4
2020-03-28,81.0,29.0,32.0,26.0
2020-03-29,78.0,29.4,33.0,27.2
2020-03-30,84.0,27.7,31.8,26.6
2020-03-31,84.0,28.1,34.4,26.0
2020-04-01,80.0,28.1,31.8,25.2
2020-04-02,73.0,29.8,33.8,25.6
2020-04-03,77.0,29.3,33.6,27.0
2020-04-04,81.0,28.9,32.0,26.0
2020-04-05,79.0,28.5,32.0,27.0
2020-04-06,86.0,27.3,32.6,26.8
2020-04-07,77.0,28.6,32.6,25.6
2020-04-08,78.0,28.8,32.0,26.0
2020-04-09,81.0,28.9,31.0,27.0
2020-04-10,83.0,28.3,32.2,26.4
2020-04-11,78.0,29.4,34.2,26.0
2020-04-12,77.0,29.6,32.6,26.4
2020-04-13,90.0,27.7,32.0,25.8
2020-04-14,85.0,28.0,32.0,25.6
2020-04-15,86.0,28.1,31.4,25.8
2020-04-16,80.0,29.0,32.4,26.0
2020-04-17,76.0,29.7,33.0,26.6
2020-04-18,77.0,28.7,32.6,26.2
2020-04-19,76.0,29.6,34.0,26.4
2020-04-20,78.0,30.0,33.6,27.0
2020-04-21,76.0,30.0,32.6,28.0
2020-04-22,70.0,30.4,34.8,26.0
2020-04-23,73.0,30.8,34.8,27.4
2020-04-24,77.0,29.3,33.0,27.0
2020-04-25,74.0,29.1,32.6,26.4
2020-04-26,77.0,29.4,33.4,26.4
2020-04-27,84.0,27.7,32.0,25.0
2020-04-28,82.0,27.8,31.2,25.8
2020-04-29,78.0,28.3,32.2,25.6
2020-04-30,82.0,28.6,31.8,26.243216229201906
2020-05-01,80.0,28.8,31.6,26.4
2020-05-02,85.0,27.1,30.0,25.6
2020-05-03,76.0,29.3,33.4,25.4
2020-05-04,79.0,28.7,30.6,26.250525201826388
2020-05-05,76.0,29.6,33.8,26.6
2020-05-06,79.0,29.6,33.4,27.0
2020-05-07,72.0,30.2,34.2,27.2
2020-05-08,73.0,30.2,33.8,27.2
2020-05-09,82.0,28.4,32.968573313854876,27.0
2020-05-10,81.0,28.8,32.6,26.0
2020-05-11,78.0,29.3,32.6,27.0
2020-05-12,75.0,30.3,34.4,27.2
2020-05-13,79.0,29.9,33.6,27.4
2020-05-14,76.0,29.4,34.2,26.6
2020-05-15,70.0,30.0,33.0,27.4
2020-05-16,70.0,30.2,34.6,26.0
2020-05-17,75.0,29.9,33.6,27.2
2020-05-18,84.0,28.2,31.4,27.0
2020-05-19,76.0,28.7,33.0,25.2
2020-05-20,75.0,29.7,34.0,26.272984880193462
2020-05-21,80.0,28.9,33.4,24.8
2020-05-22,81.0,29.7,33.0,26.0
2020-05-23,73.0,29.6,33.8,26.6
2020-05-24,65.0,31.2,35.6,26.0
2020-05-25,72.0,30.4,35.0,27.6
2020-05-26,73.0,29.9,34.0,26.2
2020-05-27,74.0,29.5,33.0,27.0
2020-05-28,76.0,29.8,33.2,26.2
2020-05-29,78.0,29.6,34.0,27.4
2020-05-30,76.0,29.6,34.2,26.28151650681659
2020-05-31,73.0,29.4,33.0,27.0
2020-06-01,73.0,30.3,33.4,26.2
2020-06-02,74.0,29.6,34.0,26.6
2020-06-03,80.0,28.7,33.2,26.0
2020-06-04,72.0,29.5,33.0,26.8
2020-06-05,74.0,29.7,32.6,26.2
2020-06-06,76.0,28.9,32.2,26.4
2020-06-07,71.0,29.9,33.6,26.0
2020-06-08,75.0,29.5,33.2,26.4
2020-06-09,80.0,28.7,31.4,27.2
2020-06-10,78.0,29.4,34.0,26.6
2020-06-11,75.0,29.8,33.6,27.2
2020-06-12,72.96819787921854,29.197610723667985,33.6,24.6
2020-06-13,74.0,29.4,33.0,25.6
2020-06-14,72.0,30.3,34.8,26.6
2020-06-15,76.0,30.1,33.0,27.0
2020-06-16,73.0,30.0,33.22042538785043,27.6
2020-06-17,69.0,30.3,35.0,26.4
2020-06-18,74.0,29.9,33.8,27.4
2020-06-19,75.0,29.3,32.0,26.0
2020-06-20,74.0,29.3,34.2,26.2
2020-06-21,77.0,28.9,32.6,26.4
2020-06-22,77.0,28.8,31.6,26.0
2020-06-23,80.0,28.0,32.8,24.4
2020-06-24,73.0,28.7,33.0,25.2
